,name,id_city,microregion,id_microregion,macroregion,id_macroregion,state,id_state,UF,region,location_type,id
0,Alta Floresta D'Oeste,1100015.0,Cacoal,11006.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100015
1,Ariquemes,1100023.0,Ariquemes,11003.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100023
2,Cabixi,1100031.0,Colorado do Oeste,11008.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100031
3,Cacoal,1100049.0,Cacoal,11006.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100049
4,Cerejeiras,1100056.0,Colorado do Oeste,11008.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100056
5,Colorado do Oeste,1100064.0,Colorado do Oeste,11008.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100064
6,Corumbiara,1100072.0,Colorado do Oeste,11008.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100072
7,Costa Marques,1100080.0,Guajara-Mirim,11002.0,Madeira-Guapore,1101.0,Rondonia,11,RO,Norte,city,1100080
8,Espigao D'Oeste,1100098.0,Cacoal,11006.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100098
9,Guajara-Mirim,1100106.0,Guajara-Mirim,11002.0,Madeira-Guapore,1101.0,Rondonia,11,RO,Norte,city,1100106
10,Jaru,1100114.0,Ji-Parana,11004.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100114
11,Ji-Parana,1100122.0,Ji-Parana,11004.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100122
12,Machadinho D'Oeste,1100130.0,Ariquemes,11003.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100130
13,Nova Brasilandia D'Oeste,1100148.0,Alvorada D'Oeste,11005.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100148
14,Ouro Preto do Oeste,1100155.0,Ji-Parana,11004.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100155
15,Pimenta Bueno,1100189.0,Vilhena,11007.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100189
16,Porto Velho,1100205.0,Porto Velho,11001.0,Madeira-Guapore,1101.0,Rondonia,11,RO,Norte,city,1100205
17,Presidente Medici,1100254.0,Ji-Parana,11004.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100254
18,Rio Crespo,1100262.0,Ariquemes,11003.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100262
19,Rolim de Moura,1100288.0,Cacoal,11006.0,Leste Rondoniense,1102.0,Rondonia,11,RO,Norte,city,1100288
