,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
0,Abadia de Goias,Goias,city,0,0,0,0,0,0,210,210,840,0,0,0,800,2880,800,18,18,1450
1,Abadia dos Dourados,Minas Gerais,city,0,0,0,371,182,182,1920,1920,12414,0,0,0,3500,13650,3500,10,10,400
2,Abadiania,Goias,city,0,0,0,0,0,0,1600,1600,7085,0,0,0,5000,17500,5000,0,0,0
3,Abaetetuba,Para,city,51,140,140,27,40,40,90,90,66,36,60,60,0,0,0,100,100,3000
4,Abaete,Minas Gerais,city,0,0,0,195,60,60,820,820,5904,5,4,4,450,1755,450,170,170,10200
5,Abaiara,Ceara,city,0,0,0,0,0,0,1702,1702,3915,7,3,3,0,0,0,2,2,93
6,Abare,Bahia,city,0,0,0,0,0,0,700,700,191,0,0,0,0,0,0,0,0,0
7,Abatia,Parana,city,0,0,0,433,380,380,5820,5820,34364,4,2,2,10470,37064,10470,560,560,40454
8,Abaira,Bahia,city,0,0,0,117,135,135,124,124,56,9,14,14,0,0,0,300,300,6000
9,Abdon Batista,Santa Catarina,city,0,0,0,0,0,0,2000,2000,17000,0,0,0,3200,11600,3200,0,0,0
10,Abel Figueiredo,Para,city,0,0,0,0,0,0,210,210,693,34,15,15,5600,17360,5600,11,11,618
11,Abelardo Luz,Santa Catarina,city,0,0,0,0,0,0,6000,6000,45000,0,0,0,50000,180000,50000,0,0,0
12,Abre Campo,Minas Gerais,city,0,0,0,4920,4100,4100,400,400,1356,0,0,0,0,0,0,210,210,6930
13,Abreu e Lima,Pernambuco,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Abreulandia,Tocantins,city,0,0,0,0,0,0,3300,3300,10890,97,50,50,8449,27000,8449,10,10,652
15,Acaiaca,Minas Gerais,city,0,0,0,5,4,4,100,100,300,0,0,0,0,0,0,40,40,1400
16,Acajutiba,Bahia,city,0,0,0,0,0,0,220,220,248,0,0,0,0,0,0,0,0,0
17,Acarape,Ceara,city,0,0,0,0,0,0,410,410,425,19,10,10,0,0,0,4,4,160
18,Acarau,Ceara,city,0,0,0,0,0,0,3060,3060,612,0,0,0,0,0,0,15,15,330
19,Acari,Rio Grande do Norte,city,0,0,0,0,0,0,80,80,24,0,0,0,0,0,0,0,0,0
20,Acara,Para,city,716,1120,1120,0,0,0,50,50,162,42,50,50,0,0,0,0,0,0
21,Acaua,Piaui,city,0,0,0,0,0,0,1505,1505,596,0,0,0,0,0,0,0,0,0
22,Acegua,Rio Grande do Sul,city,0,0,0,0,0,0,1500,1500,3600,48019,5856,5856,30000,48750,30000,0,0,0
23,Acopiara,Ceara,city,0,0,0,0,0,0,12700,12700,14135,58,16,16,0,0,0,40,40,1600
24,Acorizal,Mato Grosso,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,200
25,Acre,Acre,state,0,0,0,2570,1062,999,40460,40380,135276,4605,3705,3635,6570,22667,6570,448,480,11896
26,Acrelandia,Acre,city,0,0,0,1591,505,505,1150,1150,3395,91,65,65,0,0,0,40,60,1120
27,Acreuna,Goias,city,0,0,0,0,0,0,30200,30200,166150,0,0,0,51000,188700,51000,33000,33000,1748637
28,Adamantina,Sao Paulo,microregion,0,0,0,6305,5744,5744,3980,3980,17081,0,0,0,5695,14590,5695,82157,82157,5685156
