id,name,state,location_type,area_planted_cocoa,area_harvested_cocoa,cocoa,area_planted_coffee,coffee,area_harvested_coffee,corn,area_planted_corn,area_harvested_corn,rice,area_harvested_rice,area_planted_rice,area_harvested_soy,area_planted_soy,soy,sugarcane,area_harvested_sugarcane,area_planted_sugarcane,id_city,microregion,id_microregion,macroregion,id_macroregion,id_state,UF,region,total,urea_consumption,location_id
5200050,Abadia de Goias,Goias,city,0,0,0,0,0,0,840,210,210,0,0,0,800,800,2880,1450,18,18,5200050.0,Goiania,52010.0,Centro Goiano,5203.0,52,GO,Centro-Oeste,5170,61.84347826086956,5200050
3100104,Abadia dos Dourados,Minas Gerais,city,0,0,0,182,371,182,12414,1920,1920,0,0,0,3500,3500,13650,400,10,10,3100104.0,Patrocinio,31019.0,Triangulo Mineiro/Alto Paranaiba,3105.0,31,MG,Sudeste,26835,470.91739130434786,3100104
5200100,Abadiania,Goias,city,0,0,0,0,0,0,7085,1600,1600,0,0,0,5000,5000,17500,0,0,0,5200100.0,Entorno de Brasilia,52012.0,Leste Goiano,5204.0,52,GO,Centro-Oeste,24585,410.4347826086956,5200100
1500107,Abaetetuba,Para,city,140,140,51,40,27,40,66,90,90,36,60,60,0,0,0,3000,100,100,1500107.0,Cameta,15011.0,Nordeste Paraense,1504.0,15,PA,Norte,3180,69.56521739130434,1500107
3100203,Abaete,Minas Gerais,city,0,0,0,60,195,60,5904,820,820,5,4,4,450,450,1755,10200,170,170,3100203.0,Tres Marias,31024.0,Central Mineira,3106.0,31,MG,Sudeste,18059,186.67826086956518,3100203
2300101,Abaiara,Ceara,city,0,0,0,0,0,0,3915,1702,1702,7,3,3,0,0,0,93,2,2,2300101.0,Brejo Santo,23033.0,Sul Cearense,2307.0,23,CE,Nordeste,4015,252.4717391304348,2300101
2900207,Abare,Bahia,city,0,0,0,0,0,0,191,700,700,0,0,0,0,0,0,0,0,0,2900207.0,Paulo Afonso,29005.0,Vale Sao-Franciscano da Bahia,2902.0,29,BA,Nordeste,191,103.47826086956522,2900207
4100103,Abatia,Parana,city,0,0,0,380,433,380,34364,5820,5820,4,2,2,10470,10470,37064,40454,560,560,4100103.0,Cornelio Procopio,41015.0,Norte Pioneiro Paranaense,4104.0,41,PR,Sul,112319,1450.404347826087,4100103
2900108,Abaira,Bahia,city,0,0,0,135,117,135,56,124,124,9,14,14,0,0,0,6000,300,300,2900108.0,Seabra,29023.0,Centro Sul Baiano,2906.0,29,BA,Nordeste,6182,117.67173913043477,2900108
4200051,Abdon Batista,Santa Catarina,city,0,0,0,0,0,0,17000,2000,2000,0,0,0,3200,3200,11600,0,0,0,4200051.0,Curitibanos,42009.0,Serrana,4203.0,42,SC,Sul,28600,406.9565217391304,4200051
1500131,Abel Figueiredo,Para,city,0,0,0,0,0,0,693,210,210,34,15,15,5600,5600,17360,618,11,11,1500131.0,Paragominas,15017.0,Sudeste Paraense,1506.0,15,PA,Norte,18705,230.35,1500131
4200101,Abelardo Luz,Santa Catarina,city,0,0,0,0,0,0,45000,6000,6000,0,0,0,50000,50000,180000,0,0,0,4200101.0,Xanxere,42003.0,Oeste Catarinense,4201.0,42,SC,Sul,225000,2626.086956521739,4200101
3100302,Abre Campo,Minas Gerais,city,0,0,0,4100,4920,4100,1356,400,400,0,0,0,0,0,0,6930,210,210,3100302.0,Manhuacu,31061.0,Zona da Mata,3112.0,31,MG,Sudeste,13206,1528.8260869565217,3100302
2600054,Abreu e Lima,Pernambuco,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600054.0,Recife,26017.0,Metropolitana de Recife,2605.0,26,PE,Nordeste,0,0.0,2600054
1700251,Abreulandia,Tocantins,city,0,0,0,0,0,0,10890,3300,3300,97,50,50,8449,8449,27000,652,10,10,1700251.0,Miracema do Tocantins,17003.0,Ocidental do Tocantins,1701.0,17,TO,Norte,38639,792.3782608695651,1700251
3100401,Acaiaca,Minas Gerais,city,0,0,0,4,5,4,300,100,100,0,0,0,0,0,0,1400,40,40,3100401.0,Ponte Nova,31060.0,Zona da Mata,3112.0,31,MG,Sudeste,1705,22.791304347826088,3100401
2900306,Acajutiba,Bahia,city,0,0,0,0,0,0,248,220,220,0,0,0,0,0,0,0,0,0,2900306.0,Alagoinhas,29017.0,Nordeste Baiano,2904.0,29,BA,Nordeste,248,32.52173913043478,2900306
2300150,Acarape,Ceara,city,0,0,0,0,0,0,425,410,410,19,10,10,0,0,0,160,4,4,2300150.0,Baturite,23013.0,Norte Cearense,2302.0,23,CE,Nordeste,604,63.07391304347826,2300150
2300200,Acarau,Ceara,city,0,0,0,0,0,0,612,3060,3060,0,0,0,0,0,0,330,15,15,2300200.0,Litoral de Camocim e Acarau,23001.0,Noroeste Cearense,2301.0,23,CE,Nordeste,942,454.8260869565217,2300200
2400109,Acari,Rio Grande do Norte,city,0,0,0,0,0,0,24,80,80,0,0,0,0,0,0,0,0,0,2400109.0,Serido Oriental,24012.0,Central Potiguar,2402.0,24,RN,Nordeste,24,11.826086956521738,2400109
1500206,Acara,Para,city,1120,1120,716,0,0,0,162,50,50,42,50,50,0,0,0,0,0,0,1500206.0,Tome-Acu,15012.0,Nordeste Paraense,1504.0,15,PA,Norte,920,135.7173913043478,1500206
2200053,Acaua,Piaui,city,0,0,0,0,0,0,596,1505,1505,0,0,0,0,0,0,0,0,0,2200053.0,Alto Medio Caninde,22015.0,Sudeste Piauiense,2204.0,22,PI,Nordeste,596,222.47826086956522,2200053
4300034,Acegua,Rio Grande do Sul,city,0,0,0,0,0,0,3600,1500,1500,48019,5856,5856,30000,30000,48750,0,0,0,4300034.0,Campanha Meridional,43031.0,Sudoeste Rio-grandense,4306.0,43,RS,Sul,100369,2321.8434782608692,4300034
2300309,Acopiara,Ceara,city,0,0,0,0,0,0,14135,12700,12700,58,16,16,0,0,0,1600,40,40,2300309.0,Sertao de Senador Pompeu,23021.0,Sertoes Cearenses,2304.0,23,CE,Nordeste,15793,1886.8869565217392,2300309
5100102,Acorizal,Mato Grosso,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,10,10,5100102.0,Rosario Oeste,51016.0,Centro-Sul Mato-grossense,5104.0,51,MT,Centro-Oeste,200,1.6521739130434783,5100102
12,Acre,Acre,state,0,0,0,1062,2570,999,135276,40460,40380,4605,3635,3705,6570,6570,22667,11896,448,480,,,,,,12,AC,Norte,177014,7329.080434782608,1200385
1200013,Acrelandia,Acre,city,0,0,0,505,1591,505,3395,1150,1150,91,65,65,0,0,0,1120,40,60,1200013.0,Rio Branco,12004.0,Vale do Acre,1202.0,12,AC,Norte,6197,368.39130434782606,1200013
5200134,Acreuna,Goias,city,0,0,0,0,0,0,166150,30200,30200,0,0,0,51000,51000,188700,1748637,33000,33000,5200134.0,Vale do Rio dos Bois,52014.0,Sul Goiano,5205.0,52,GO,Centro-Oeste,2103487,11690.434782608696,5200134
